Codice;Cliente;DataAp;Indirizzo;Città;Stato;DataCh
11328233;LIM857;16/09/2021;Viale Santa Maria, 115;Forlì;Inattivo;26/11/2024
11333443;NSL377;04/05/2025;Viale dei Lavoratori, 247;Rimini;Attivo;
11343390;TZD475;23/11/2024;Corso XX Settembre, 170;Macerata;Inattivo;04/12/2025
11385500;RQQ700;16/11/2021;Via Verdi, 266;Piacenza;Attivo;
11426203;JRV971;28/03/2025;Corso del Risorgimento, 277;Belluno;Inattivo;17/01/2026
11426471;MQV638;05/09/2020;Via dell'Acquedotto, 37;Pescara;Attivo;
11440762;MZN809;02/10/2020;Viale Santa Maria, 117;Catanzaro;Attivo;
11473912;ZPB608;05/09/2025;Via delle Scienze, 161;Ferrara;Attivo;
11495427;GEF774;10/03/2025;Corso Garibaldi, 184;Piacenza;Inattivo;13/05/2025
11497110;OXM246;30/05/2022;Via delle Scienze, 230;Pordenone;Attivo;
11561931;EGG853;20/04/2026;Via dei Mille, 182;Nuoro;Attivo;
11581449;CJQ869;20/12/2020;Via Europa, 16;Trapani;Inattivo;03/08/2023
11601662;DGK611;31/12/2024;Via dei Mille, 102;Ragusa;Attivo;
11627629;OIF175;12/10/2021;Via Colombo, 264;Rimini;Inattivo;14/05/2024
11636112;FBQ381;26/11/2025;Via IV Novembre, 251;Reggio Emilia;Attivo;
11645104;CYH877;02/05/2024;Via San Giovanni, 51;Lodi;Inattivo;25/07/2025
11657120;BLR333;04/03/2026;Corso Marconi, 244;Cosenza;Attivo;
11666870;BOJ842;08/02/2020;Viale Leopardi, 223;Reggio Calabria;Attivo;
11680941;JAI924;15/04/2023;Via dell'Acquedotto, 165;Torino;Attivo;
11692364;EUN063;28/11/2023;Via del Commercio, 189;Piacenza;Attivo;
11707812;RIM165;08/03/2023;Via Colombo, 208;Caserta;Attivo;
11751863;BTN326;25/10/2024;Via della Libertà, 166;Piacenza;Attivo;
11759025;FZQ259;16/03/2021;Via Dante, 294;Pistoia;Attivo;
11773759;QFC039;23/06/2023;Via Verdi, 19;Barletta;Attivo;
11824225;BGF469;12/07/2022;Via dell'Acquedotto, 41;Reggio Emilia;Inattivo;07/08/2025
11825624;MTS061;05/01/2025;Via IV Novembre, 129;Ferrara;Inattivo;02/10/2025
11841862;FHI236;05/01/2020;Viale della Repubblica, 219;Bologna;Attivo;
11845146;ACB566;09/10/2021;Via Matteotti, 92;Reggio Emilia;Attivo;
11873143;NPA361;11/12/2020;Viale della Repubblica, 222;Caserta;Inattivo;21/06/2021
11923315;ZBO949;28/06/2021;Via della Libertà, 63;Firenze;Attivo;
11930646;SPK147;19/05/2021;Piazza Mazzini, 296;Vicenza;Inattivo;31/01/2026
11958663;PTF955;23/06/2021;Via IV Novembre, 269;Pisa;Attivo;
11965569;AHC234;25/09/2025;Via della Libertà, 23;Sassari;Inattivo;20/04/2026
11990502;UGN509;25/05/2023;Viale Italia, 241;Prato;Inattivo;10/06/2024
11999162;TVX495;16/12/2022;Via del Commercio, 241;Ragusa;Attivo;
12025691;LAZ879;01/06/2022;Via Roma, 113;Trento;Inattivo;20/08/2022
12093137;UPG890;16/03/2026;Corso Cavour, 35;Pesaro;Attivo;
12098194;YKJ661;21/01/2020;Viale delle Industrie, 199;Oristano;Inattivo;30/04/2023
12170754;LAB292;25/10/2025;Viale Nazionale, 173;Rimini;Inattivo;29/01/2026
12201754;PUT817;10/02/2024;Via Europa, 142;Venezia;Attivo;
12215439;MSA207;13/05/2020;Viale della Repubblica, 89;Cesena;Inattivo;30/11/2020
12235697;CEX785;09/08/2021;Via della Costituzione, 42;Taranto;Inattivo;12/10/2025
12237900;NMI384;20/10/2024;Corso Garibaldi, 283;Caltanissetta;Inattivo;07/05/2025
12252677;FHL537;02/10/2020;Via della Libertà, 75;Sondrio;Inattivo;25/04/2023
12274330;QXJ702;23/05/2022;Via delle Scienze, 252;Latina;Attivo;
12293094;YZH571;20/04/2023;Corso Cavour, 44;Rovereto;Inattivo;09/11/2023
12316433;EQU511;07/04/2023;Via Colombo, 30;Modena;Attivo;
12330307;CDA347;26/07/2020;Via Verdi, 141;Rovigo;Attivo;
12362192;KLR802;03/10/2020;Via Matteotti, 294;Perugia;Inattivo;09/01/2026
12374326;XHL307;20/12/2021;Viale delle Industrie, 145;Nuoro;Attivo;
12402681;ATV843;17/09/2020;Via Matteotti, 56;Lucca;Attivo;
12409398;UHP420;30/06/2024;Via San Giovanni, 271;Terni;Attivo;
12470288;NTX133;27/12/2020;Viale dei Lavoratori, 274;Brescia;Inattivo;27/10/2021
12480855;MJZ805;21/03/2025;Corso Garibaldi, 8;Forlì;Attivo;
12501554;XHA234;14/11/2022;Via del Commercio, 276;Firenze;Attivo;
12503926;BOL413;11/11/2020;Via IV Novembre, 200;Arezzo;Inattivo;09/03/2024
12504290;GHG836;11/03/2021;Via Matteotti, 261;Lucca;Attivo;
12530843;NYI163;15/05/2025;Via del Commercio, 204;Messina;Attivo;
12543163;VLX913;30/09/2020;Via della Libertà, 248;Asti;Inattivo;23/08/2022
12548536;MVH022;14/07/2021;Corso Garibaldi, 144;Cesena;Attivo;
12556184;IVO355;11/04/2023;Viale dei Lavoratori, 76;Andria;Inattivo;01/12/2023
12560041;VKG481;03/04/2022;Corso della Pace, 204;Crotone;Attivo;
12563420;NOI347;04/07/2021;Via Dante, 113;Messina;Attivo;
12564347;EYM500;19/05/2021;Via del Commercio, 252;Vibo Valentia;Attivo;
12567021;YXR220;17/05/2025;Viale delle Industrie, 171;Pesaro;Attivo;
12570162;XLX982;12/07/2020;Via San Giovanni, 124;Vicenza;Attivo;
12601279;CNP585;18/11/2024;Viale Nazionale, 41;Sassari;Inattivo;31/05/2025
12602944;NKI805;25/08/2021;Via dell'Acquedotto, 23;Belluno;Attivo;
12656477;RKZ584;27/01/2021;Via Matteotti, 287;Agrigento;Attivo;
12663820;UXC149;16/04/2025;Viale Italia, 283;Forlì;Inattivo;20/11/2025
12669141;QAZ794;15/10/2022;Via Roma, 197;Oristano;Attivo;
12690896;SKG493;03/01/2023;Via Europa, 215;Pistoia;Attivo;
12707903;DKC440;18/06/2021;Corso del Risorgimento, 158;Perugia;Inattivo;04/03/2025
12764513;XNV393;18/01/2020;Via dei Mille, 26;Bologna;Attivo;
12767735;BGY749;11/08/2021;Viale Santa Maria, 177;Agrigento;Inattivo;20/10/2025
12787429;ANE741;20/11/2024;Viale Italia, 241;Vicenza;Attivo;
12798914;ZSN423;06/09/2023;Viale Italia, 37;Andria;Attivo;
12812371;GKT029;08/06/2020;Corso Cavour, 269;Piacenza;Attivo;
12842762;DVL402;03/07/2023;Via della Costituzione, 57;Gorizia;Attivo;
12865383;RMA939;18/01/2024;Corso Vittorio Emanuele, 207;Vicenza;Attivo;
12975997;QWD526;06/01/2023;Via del Commercio, 118;Ravenna;Attivo;
12992280;CLJ485;24/08/2021;Via Matteotti, 208;Messina;Inattivo;04/04/2023
13042322;KNH880;02/12/2024;Via San Giovanni, 53;Udine;Attivo;
13108907;DQV510;02/05/2021;Viale Italia, 155;Milano;Attivo;
13120735;CTL401;17/09/2024;Via Colombo, 17;Alessandria;Inattivo;10/04/2026
13161317;WMI540;17/01/2025;Viale della Repubblica, 155;Padova;Attivo;
13172113;WOY773;25/01/2024;Corso Vittorio Emanuele, 99;Trieste;Attivo;
13214303;TVM932;30/12/2020;Via IV Novembre, 123;Latina;Attivo;
13230888;TPQ109;20/08/2020;Corso del Risorgimento, 145;Milano;Attivo;
13250173;KKI364;03/04/2024;Corso Cavour, 147;Rimini;Inattivo;13/10/2024
13264525;RMV940;20/12/2024;Via Mazzini, 17;Rieti;Inattivo;23/02/2025
13265513;LZG508;18/06/2021;Via del Commercio, 239;Venezia;Attivo;
13339977;GZI680;06/02/2021;Via dei Mille, 38;Cagliari;Attivo;
13356369;OEF088;02/04/2022;Via Mazzini, 30;Venezia;Attivo;
13369995;QRU621;16/06/2021;Corso della Pace, 23;Padova;Attivo;
13374499;QBT328;21/11/2025;Viale della Repubblica, 55;Arezzo;Attivo;
13401535;MBL867;06/09/2022;Via Colombo, 165;Palermo;Inattivo;23/02/2025
13425197;PQY915;05/08/2020;Via dell'Acquedotto, 192;Biella;Inattivo;22/02/2021
13471754;CQQ164;18/01/2024;Viale Nazionale, 11;Ragusa;Inattivo;09/10/2025
13528805;TIF096;24/04/2020;Via dei Mille, 24;Foggia;Attivo;
13531607;NTU600;28/01/2021;Piazza Mazzini, 106;Mantova;Attivo;
13553380;ESU349;14/10/2022;Viale Santa Maria, 114;Sondrio;Attivo;
13559591;XMI390;26/07/2023;Via della Costituzione, 40;Lecco;Inattivo;15/12/2024
13565942;OWK821;19/12/2021;Viale Leopardi, 196;Ferrara;Inattivo;09/02/2023
13589298;HGQ646;20/11/2025;Corso XX Settembre, 118;Agrigento;Inattivo;28/03/2026
13595442;GYC425;02/06/2023;Corso della Pace, 151;Varese;Attivo;
13597177;PRW300;29/11/2020;Via Verdi, 17;Bologna;Attivo;
13753531;UUU010;02/04/2022;Via Dante, 230;Ravenna;Inattivo;27/10/2023
13784679;UGF858;08/07/2025;Via Roma, 231;Terni;Inattivo;07/09/2025
13850360;NHO233;04/10/2023;Viale delle Industrie, 258;Parma;Attivo;
13883331;WMI540;30/07/2023;Corso del Risorgimento, 50;Rovigo;Attivo;
13909120;NDZ045;29/08/2022;Viale Nazionale, 70;Sassari;Attivo;
13911142;IHZ100;27/12/2025;Via della Costituzione, 189;Forlì;Inattivo;26/03/2026
13943988;TKT062;25/11/2022;Via Colombo, 286;Brescia;Attivo;
13965586;RQQ700;21/08/2025;Via del Commercio, 289;Modena;Attivo;
13996263;PTA175;28/07/2025;Corso del Risorgimento, 228;Salerno;Attivo;
14004386;XPF973;03/04/2024;Via Colombo, 21;Reggio Emilia;Attivo;
14043333;IVY562;25/12/2023;Via IV Novembre, 162;Siena;Inattivo;14/08/2025
14073730;SDD938;30/01/2023;Corso del Risorgimento, 198;Rovigo;Inattivo;02/04/2023
14085206;UNI684;04/10/2022;Viale Italia, 270;Catania;Inattivo;16/03/2025
14137977;CLJ485;29/11/2021;Via delle Scienze, 299;Messina;Inattivo;18/05/2024
14145056;ZVR472;18/05/2022;Corso Garibaldi, 219;Teramo;Attivo;
14169105;MKN301;25/07/2022;Via Mazzini, 37;Caserta;Inattivo;17/04/2023
14202886;NTJ559;04/09/2024;Via Mazzini, 279;Rimini;Attivo;
14210202;BWO709;26/07/2025;Via Matteotti, 133;Forlì;Attivo;
14231697;PWT417;11/08/2021;Viale Santa Maria, 222;Firenze;Attivo;
14233810;SLE778;05/07/2024;Viale Italia, 252;Cesena;Inattivo;02/02/2026
14246245;IOX155;14/08/2024;Viale Nazionale, 39;Treviso;Attivo;
14276362;LVP183;16/09/2025;Via del Commercio, 133;Reggio Emilia;Attivo;
14315071;XDY533;29/07/2025;Corso della Pace, 141;Rimini;Inattivo;07/03/2026
14328986;BCT889;31/03/2021;Corso Vittorio Emanuele, 63;Ferrara;Attivo;
14332181;AAM122;24/09/2024;Viale della Repubblica, 259;Monza;Inattivo;26/02/2025
14337009;HWA928;18/11/2024;Via delle Scienze, 119;Viterbo;Attivo;
14379686;LAO126;21/01/2026;Corso XX Settembre, 161;Milano;Attivo;
14388176;VLX913;06/03/2025;Corso Cavour, 225;Vercelli;Attivo;
14393516;VET460;15/03/2020;Via Colombo, 192;Piacenza;Inattivo;19/01/2024
14423647;SAW235;02/10/2021;Via IV Novembre, 7;Reggio Emilia;Attivo;
14427173;DIR410;27/05/2024;Via Dante, 277;Prato;Inattivo;11/12/2025
14447427;ZAO662;06/08/2020;Corso Vittorio Emanuele, 140;Como;Attivo;
14460819;RTM654;08/08/2025;Corso Garibaldi, 283;Padova;Attivo;
14523888;JHN106;27/11/2023;Via Mazzini, 170;Terni;Attivo;
14530174;BLX985;16/10/2021;Via Mazzini, 160;Treviso;Attivo;
14556110;CGV326;09/02/2020;Via dei Mille, 184;Cosenza;Attivo;
14583875;WOY773;07/06/2020;Corso Garibaldi, 298;Gorizia;Inattivo;15/03/2026
14588679;GYC425;28/11/2021;Via Dante, 257;Cremona;Attivo;
14615402;IPA631;08/10/2020;Via Roma, 55;Vibo Valentia;Inattivo;25/03/2026
14616388;PZO752;11/04/2021;Viale Leopardi, 275;Grosseto;Attivo;
14666145;JQU640;12/04/2020;Corso Garibaldi, 229;Modena;Attivo;
14687506;ENE546;08/03/2022;Viale Santa Maria, 116;Palermo;Inattivo;21/07/2025
14711671;AKN369;07/08/2020;Viale Italia, 128;Siena;Inattivo;24/04/2025
14747648;LPO413;27/03/2023;Viale Nazionale, 115;Catanzaro;Attivo;
14762539;QOG586;31/01/2024;Piazza Mazzini, 169;Reggio Calabria;Inattivo;18/07/2024
14772464;XTB936;23/05/2025;Corso della Pace, 152;Siracusa;Inattivo;09/04/2026
14773586;BON782;03/11/2024;Via Europa, 44;Cremona;Inattivo;28/10/2025
14806757;JSG301;18/01/2021;Viale dei Lavoratori, 97;Livorno;Attivo;
14853123;RYN874;30/10/2022;Via Verdi, 175;Lecce;Attivo;
14888680;PQG389;12/05/2023;Viale della Repubblica, 23;Cesena;Inattivo;13/08/2024
14888992;CWW227;21/01/2021;Via Dante, 136;Taranto;Inattivo;20/03/2023
14891382;EMS600;01/06/2023;Viale Italia, 257;Bolzano;Attivo;
14904712;DHA901;01/09/2025;Via Dante, 144;Siena;Inattivo;10/01/2026
14908240;CWW227;15/05/2023;Via dell'Acquedotto, 162;Taranto;Attivo;
14910601;JIB175;29/10/2025;Corso Cavour, 105;Piacenza;Inattivo;30/01/2026
14910860;SJG936;18/04/2023;Viale Nazionale, 169;Reggio Calabria;Inattivo;11/02/2026
15033746;MWA615;16/09/2025;Viale Leopardi, 226;Foggia;Inattivo;21/11/2025
15045050;OJV692;17/12/2021;Via Colombo, 85;Salerno;Attivo;
15061387;DKC440;06/01/2026;Via Mazzini, 37;Terni;Inattivo;13/04/2026
15068098;UXO825;08/04/2022;Viale Italia, 299;Taranto;Attivo;
15070950;XTW868;05/07/2024;Corso della Pace, 112;Pistoia;Attivo;
15151864;BBQ857;29/10/2022;Via dell'Acquedotto, 77;Cesena;Attivo;
15184498;CLI437;13/12/2021;Via IV Novembre, 40;Ravenna;Inattivo;27/03/2024
15188129;NMI903;20/01/2026;Via dell'Acquedotto, 51;Trapani;Attivo;
15221711;OSF900;17/02/2023;Via delle Scienze, 172;Oristano;Attivo;
15260270;SER366;10/07/2024;Via dei Mille, 222;Vicenza;Attivo;
15315204;JRF133;17/08/2025;Via del Commercio, 255;Frosinone;Inattivo;15/03/2026
15324216;VMA432;10/02/2023;Via Matteotti, 223;Parma;Inattivo;12/07/2024
15365045;ZBO949;23/06/2024;Viale delle Industrie, 21;Pistoia;Attivo;
15376660;IWY370;28/10/2025;Viale Santa Maria, 66;Prato;Attivo;
15390649;PQY915;15/05/2020;Via San Giovanni, 250;Biella;Attivo;
15392609;PMP915;26/11/2024;Via Mazzini, 207;Alessandria;Attivo;
15397079;JDU684;08/02/2026;Via Europa, 61;Gorizia;Attivo;
15493296;BLX985;17/10/2024;Via Europa, 49;Venezia;Attivo;
15510762;EVS333;15/04/2020;Via Matteotti, 144;Belluno;Attivo;
15529580;GOB072;09/07/2024;Corso della Pace, 32;Cremona;Attivo;
15573857;IQX665;21/07/2022;Via Roma, 40;Lodi;Attivo;
15585575;NYF359;07/06/2023;Corso XX Settembre, 143;Bologna;Attivo;
15595501;INJ873;31/05/2025;Via Verdi, 109;Vibo Valentia;Attivo;
15614653;SKV331;26/10/2022;Corso Garibaldi, 32;Livorno;Attivo;
15647658;ZMZ066;26/02/2024;Via Colombo, 11;Macerata;Attivo;
15661995;LMK018;12/04/2022;Corso Vittorio Emanuele, 50;Oristano;Inattivo;12/06/2024
15677125;QAZ311;18/11/2020;Via IV Novembre, 23;Andria;Attivo;
15717532;WQJ218;10/06/2021;Via San Giovanni, 179;Pisa;Attivo;
15719838;CIF348;11/05/2024;Via Mazzini, 196;Firenze;Inattivo;30/04/2025
15754370;SNF419;12/01/2020;Corso del Risorgimento, 145;Grosseto;Attivo;
15801195;KDX807;05/01/2020;Corso del Risorgimento, 56;Pisa;Attivo;
15808140;VQG658;27/02/2022;Via dei Mille, 18;Bologna;Inattivo;25/04/2026
15869427;NKN793;16/09/2024;Via Mazzini, 265;Frosinone;Attivo;
15871469;JDU684;07/09/2021;Viale Italia, 293;Udine;Attivo;
15916118;KLT294;23/11/2024;Corso XX Settembre, 282;Catanzaro;Inattivo;31/07/2025
15922941;LFD048;19/10/2020;Via Verdi, 22;Rimini;Inattivo;23/10/2025
15932525;CAJ619;31/08/2020;Via della Costituzione, 57;Terni;Inattivo;13/02/2024
15932572;PHK397;27/06/2021;Corso Garibaldi, 104;Foggia;Attivo;
15939481;UKM965;20/07/2023;Via IV Novembre, 29;Ferrara;Inattivo;01/07/2024
15943897;GRF273;16/11/2024;Piazza Mazzini, 251;Bari;Inattivo;08/06/2025
15993423;RWZ375;04/09/2021;Via Roma, 44;Modena;Inattivo;12/11/2025
16007806;DMO892;15/12/2025;Via Colombo, 254;Prato;Attivo;
16039810;SQI906;13/12/2024;Piazza Mazzini, 201;Ravenna;Attivo;
16072311;HKY194;17/04/2021;Viale Italia, 94;Varese;Inattivo;22/11/2025
16076344;ZXJ350;01/05/2022;Via Roma, 93;Avellino;Inattivo;22/04/2026
16098358;BIK048;28/03/2023;Via della Costituzione, 282;Crotone;Inattivo;24/03/2026
16106567;NYI163;12/09/2022;Via Colombo, 23;Agrigento;Inattivo;23/05/2024
16109221;SLE778;02/07/2024;Corso Vittorio Emanuele, 174;Piacenza;Attivo;
16134956;NIY569;07/06/2023;Viale delle Industrie, 275;Olbia;Attivo;
16163294;CCB242;02/08/2023;Viale Italia, 45;Belluno;Attivo;
16168249;NRH809;10/04/2025;Viale delle Industrie, 280;Ferrara;Attivo;
16181753;DIO445;06/03/2023;Viale delle Industrie, 48;Trieste;Inattivo;13/07/2023
16190193;NZK565;24/09/2022;Viale delle Industrie, 250;Crotone;Inattivo;28/02/2024
16235466;JWO018;19/06/2021;Via della Costituzione, 215;Parma;Attivo;
16251575;VZU602;25/10/2023;Via IV Novembre, 204;Reggio Calabria;Inattivo;11/08/2025
16255151;VNT125;30/05/2025;Via San Giovanni, 186;Gorizia;Attivo;
16258736;YCE693;20/03/2020;Viale Nazionale, 276;Catanzaro;Attivo;
16274566;RVV713;02/04/2026;Via IV Novembre, 21;Pordenone;Attivo;
16325867;UAB105;31/12/2024;Via Europa, 190;Reggio Emilia;Attivo;
16347418;ZTN703;28/02/2020;Via Dante, 24;Belluno;Attivo;
16358530;OXT347;12/12/2020;Via Colombo, 282;Messina;Inattivo;22/07/2021
16399241;WTV697;10/10/2024;Viale Italia, 178;Reggio Calabria;Attivo;
16409097;AOU577;18/03/2023;Viale delle Industrie, 181;Cosenza;Attivo;
16415780;NWQ036;17/03/2025;Via Dante, 277;Milano;Attivo;
16431713;ATV843;28/03/2020;Via Dante, 290;Arezzo;Inattivo;22/02/2024
16433226;NHO233;08/09/2021;Via Colombo, 240;Piacenza;Attivo;
16436110;BTP467;24/05/2022;Via IV Novembre, 116;Trento;Attivo;
16455804;YCE693;24/10/2025;Corso Garibaldi, 244;Catanzaro;Inattivo;16/04/2026
16510640;SFD863;24/07/2025;Via della Costituzione, 276;Terni;Inattivo;16/01/2026
16524077;CVU866;08/04/2026;Via Verdi, 291;Caltanissetta;Attivo;
16530745;CCN965;23/03/2020;Via della Libertà, 252;Pavia;Inattivo;15/10/2023
16545259;SOI823;09/04/2022;Via Colombo, 11;Bolzano;Attivo;
16557820;ISM674;03/02/2021;Via Roma, 141;Rieti;Attivo;
16611262;RSM798;14/05/2020;Via Europa, 190;Reggio Calabria;Attivo;
16624813;HLO178;23/01/2022;Corso della Pace, 225;Ravenna;Attivo;
16643158;MWU345;31/07/2020;Corso del Risorgimento, 298;Reggio Emilia;Inattivo;23/05/2024
16661799;MYY301;29/07/2024;Viale delle Industrie, 80;Lecco;Inattivo;15/09/2025
16670151;NPG710;14/11/2022;Via Roma, 49;Livorno;Inattivo;17/03/2026
16689041;NVZ492;13/06/2025;Viale Leopardi, 209;Pescara;Inattivo;23/10/2025
16695450;WRB808;01/02/2026;Via Verdi, 131;Palermo;Inattivo;25/04/2026
16698490;CNP585;18/12/2021;Via Roma, 104;Oristano;Attivo;
16718222;MWC068;18/09/2024;Viale Leopardi, 295;Barletta;Attivo;
16732318;IUF722;28/08/2021;Corso Marconi, 280;Ancona;Attivo;
16737788;ZJC626;04/11/2021;Piazza Mazzini, 21;Forlì;Inattivo;10/09/2022
16817922;XPO739;15/03/2023;Via Colombo, 5;Rovereto;Inattivo;03/12/2025
16862408;NVZ492;28/12/2024;Corso del Risorgimento, 3;Pescara;Attivo;
16881164;LWF030;23/05/2020;Via Matteotti, 268;Vibo Valentia;Inattivo;22/11/2022
16903311;BNP704;17/05/2020;Via San Giovanni, 25;Brindisi;Attivo;
16905711;SMN393;29/12/2021;Via dell'Acquedotto, 197;Prato;Inattivo;01/02/2025
16940978;XMI390;11/03/2025;Via dell'Acquedotto, 287;Cremona;Attivo;
16954735;YOI264;05/10/2024;Via Dante, 230;Lecce;Attivo;
16990162;AHU083;06/03/2025;Via dei Mille, 109;Foggia;Inattivo;15/09/2025
17005102;PTF955;28/11/2025;Corso della Pace, 41;Lucca;Attivo;
17020426;KVR641;10/10/2021;Viale delle Industrie, 255;Reggio Calabria;Attivo;
17049611;ENK636;16/08/2020;Via dell'Acquedotto, 196;Bolzano;Attivo;
17139848;HLO178;21/10/2021;Piazza Mazzini, 34;Bologna;Inattivo;01/10/2023
17149236;YID113;15/04/2020;Via Roma, 260;Treviso;Inattivo;03/02/2025
17154516;ANF698;08/10/2025;Corso della Pace, 278;Palermo;Attivo;
17155587;PYO248;09/08/2020;Via del Commercio, 27;Reggio Emilia;Attivo;
17200642;DIR410;12/09/2023;Via Matteotti, 252;Firenze;Attivo;
17251786;GPX163;20/05/2022;Viale dei Lavoratori, 238;Oristano;Attivo;
17288959;MWU345;23/01/2022;Via del Commercio, 142;Piacenza;Attivo;
17290847;ZJC626;23/12/2025;Via del Commercio, 49;Modena;Attivo;
17360776;HDV562;24/03/2022;Viale dei Lavoratori, 64;Fermo;Inattivo;10/07/2024
17392002;QAH414;02/12/2023;Corso Marconi, 170;Lecce;Attivo;
17399289;MWS208;24/11/2020;Viale Leopardi, 62;L'Aquila;Attivo;
17404515;XOJ326;18/10/2024;Via Verdi, 79;Pesaro;Attivo;
17412094;EJX067;17/04/2026;Via Verdi, 278;Catania;Attivo;
17499216;LZI190;16/05/2023;Via Europa, 66;Siracusa;Inattivo;31/08/2024
17499359;OIF175;02/01/2026;Viale delle Industrie, 245;Ravenna;Inattivo;23/03/2026
17536051;JVT776;15/10/2020;Corso della Pace, 32;Foggia;Attivo;
17550848;UGD305;03/08/2023;Via Mazzini, 251;Rimini;Inattivo;26/07/2024
