Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
AWU365;RLNGPP49P26B354T;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Matteotti, 271;Cagliari
AXQ396;RLNMSM93H10D548B;Idroservice Nazionale SpA di Sara Rizzo;Viale Leopardi, 158;Ferrara
AYD192;RZZPLA80S13L049V;BluAcqua Forniture Srl di Giuseppe Esposito;Via Dante, 77;Taranto
AZF847;LMBLNE63L66E472P;Servizi Idrici del Nord Srl di Stefano Bruno;Via San Giovanni, 26;Latina
AZP405;BRBMRC98T17G535F;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Santa Maria, 77;Piacenza
BAK091;SNTCST48D43G273C;Acque Chiare Servizi Srl di Marco Rossi;Via della Costituzione, 1;Palermo
BAW934;MNTMRC51A22D704O;Idro Distribuzione Italiana SpA di Luca Russo;Via Europa, 37;Forlì
BBQ857;DLCGNN97T48H294B;PureFlow Idrica Srl di Alessandro Ricci;Via delle Scienze, 70;Rimini
BCD446;RSSGPP58D22G478I;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Roma, 221;Perugia
BCE721;MRTDVD78R19H703V;Acque Chiare Servizi Srl di Marco Rossi;Via della Costituzione, 146;Salerno
BCT889;RSSRSO69L41D704M;Cristallina Acque Srl di Giulia Moretti;Via delle Scienze, 192;Forlì
BCV158;LNEMNC65H49D643V;Sorgenti d'Italia Srl di Roberto Marino;Via dell'Acquedotto, 242;Foggia
BFC537;RSSSFN95C01F839F;Acque del Sud Italia SpA di Elena Giordano;Viale Santa Maria, 198;Napoli
BFT054;SRRSFN87M23C352X;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Matteotti, 149;Catanzaro
BFW141;CNTMSM80H22L378Z;Acqua Sicura Forniture Srl di Chiara Lombardi;Piazza Mazzini, 124;Trento
BFX008;SLVSFN52B04E506D;Rete Idrica Nazionale SpA di Matteo Colombo;Viale dei Lavoratori, 101;Lecce
BGF469;PNINNA98B67H530O;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Europa, 22;Reggio Emilia
BGV588;PNIPRZ76C67F257K;Acqua & Territorio SpA di Davide Gallo;Via della Costituzione, 78;Modena
BGY749;MRCFNC63S08G273L;AcquaPura Italia Srl di Maria Costa;Corso dell'Artigianato, 5;Palermo
BHN728;CSTNRC86P07G478Q;PureFlow Idrica Srl di Alessandro Ricci;Via Colombo, 234;Perugia
BIK048;DSNGLI82A15C352O;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso XX Settembre, 92;Catanzaro
BIR391;SPSLNZ53P24B157S;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Roma, 249;Brescia
BJE150;CNTLSE61T51L219C;Idroservice Nazionale SpA di Sara Rizzo;Viale Leopardi, 172;Torino
BLR333;LNEMSM49L06H224S;Acque del Sud Italia SpA di Elena Giordano;Via San Giovanni, 139;Reggio Calabria
BLX985;MRNCLD91A45L781K;Idroservice Nazionale SpA di Sara Rizzo;Via dell'Acquedotto, 291;Verona
BMV617;BRBRSL46T62G273S;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Piazza Mazzini, 59;Palermo
BNP704;SLVGLI49E48A662X;Fonti Chiare Distribuzione Srl di Laura Mancini;Via San Giovanni, 291;Bari
BNS023;BRNNDR50H06L736J;Rete Idrica Nazionale SpA di Matteo Colombo;Via Colombo, 143;Venezia
BOF424;NREVNT66S43L483D;AcquaPura Italia Srl di Maria Costa;Corso della Pace, 225;Udine
BOF830;MRTRSL63B51L781S;Acque del Sud Italia SpA di Elena Giordano;Corso Garibaldi, 27;Verona
BOH019;NREMRA92L53H199M;Sorgenti d'Italia Srl di Roberto Marino;Corso del Porto, 51;Ravenna
BOJ842;MNCPRZ49R50C352F;Idrogest Italia SpA di Paolo De Luca;Via delle Scienze, 75;Catanzaro
BOL413;MNTMSM57L22A390Z;Servizi Idrici del Nord Srl di Stefano Bruno;Via Colombo, 64;Arezzo
BON782;SNTGPP51C09B157W;Idro Distribuzione Italiana SpA di Luca Russo;Viale delle Industrie, 297;Brescia
BOP660;BRBLNZ59R10G482D;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso della Pace, 133;Pescara
BPI984;BRBNRC90H08L219F;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 284;Torino
BPS387;NRELCU73M18D086L;Sorgenti d'Italia Srl di Roberto Marino;Via Verdi, 216;Cosenza
BPV184;CRSPRI77E12L424F;Idroservice Nazionale SpA di Sara Rizzo;Viale della Repubblica, 125;Trieste
BQN905;RSSFRC66S43A285T;Sorgenti d'Italia Srl di Roberto Marino;Corso Vittorio Emanuele, 88;Andria
BRD350;MNCCST63S56H294T;Servizi Idrici del Nord Srl di Stefano Bruno;Via della Costituzione, 93;Rimini
BRP379;FRRMHL96C27C352S;Cristallina Acque Srl di Giulia Moretti;Via della Libertà, 293;Catanzaro
BSF558;MRTFNC92D50H294M;BluFonte Distribuzione SpA di Giovanni Greco;Corso Marconi, 134;Rimini
BSL258;LMBFNC56C09A952P;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso della Pace, 224;Bolzano
BSO708;FRRLSN49E46L117T;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Marconi, 9;Terni
BTN326;LNENGL72M52G535R;BluFonte Distribuzione SpA di Giovanni Greco;Via San Giovanni, 231;Piacenza
BTP467;DLCPRZ56E60A952H;Cristallina Acque Srl di Giulia Moretti;Via della Libertà, 170;Bolzano
BTW509;CPPGNN51C01A662D;Gestione Idrica Integrata SpA di Francesco Bianchi;Via del Commercio, 47;Bari
BWO614;LMBCRL57R24C352R;Acqua & Territorio SpA di Davide Gallo;Via dell'Acquedotto, 298;Catanzaro
BWO709;CRSLCU93H06H294A;BluFonte Distribuzione SpA di Giovanni Greco;Viale Nazionale, 69;Rimini
BXA040;CLMMSM79B03E625H;Cristallina Acque Srl di Giulia Moretti;Corso Cavour, 12;Livorno
BXP357;FRRMTT94S25D704I;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso del Porto, 115;Forlì
BXX616;CSTPLA93R07A794K;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Garibaldi, 132;Bergamo
BYQ701;MRTLCU50D21H224A;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Matteotti, 221;Reggio Calabria
BYV888;SPSGPP90S13C351O;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Italia, 291;Catania
BZO405;VTLPLA60M66G535L;Idro Distribuzione Italiana SpA di Luca Russo;Via San Giovanni, 67;Piacenza
BZP033;FRRRRT79S45D612F;Rete Idrica Nazionale SpA di Matteo Colombo;Corso dell'Artigianato, 64;Firenze
CAA844;GRDSLV73R63B157Q;Idroservice Nazionale SpA di Sara Rizzo;Via delle Scienze, 246;Brescia
CAJ619;FRRSLV96S67G478C;Sorgenti d'Italia Srl di Roberto Marino;Via dell'Acquedotto, 233;Perugia
CAW728;SLVLSN51S45B157F;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Vittorio Emanuele, 10;Brescia
CAX566;CSTFRC76M51G337B;Idroservice Nazionale SpA di Sara Rizzo;Corso Garibaldi, 6;Parma
CAY819;SPSVNT82L45L781V;AcquaPura Italia Srl di Maria Costa;Via dell'Acquedotto, 19;Verona
CCB242;GLLGLI70C61G224U;Servizi Idrici del Nord Srl di Stefano Bruno;Viale della Repubblica, 60;Padova
CCN965;CNTGRG78L23F205J;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Leopardi, 212;Milano
CDA347;SLVCST60B49L736W;BluFonte Distribuzione SpA di Giovanni Greco;Via Roma, 92;Venezia
CDK453;GLLRRT66A28G482P;Cristallina Acque Srl di Giulia Moretti;Via delle Scienze, 258;Pescara
CEG087;MRNRSO90R58F257B;Idro Distribuzione Italiana SpA di Luca Russo;Via delle Scienze, 16;Modena
CEL997;MRCNDR79T08H294K;Acque Chiare Servizi Srl di Marco Rossi;Corso Vittorio Emanuele, 211;Rimini
CEX785;LNGTRS91L56A662T;Rete Idrica Nazionale SpA di Matteo Colombo;Corso dell'Artigianato, 16;Bari
CFG015;SRRSFN78S11A794Y;Fonti Chiare Distribuzione Srl di Laura Mancini;Via del Commercio, 85;Bergamo
CGF559;MNCCLD52R43H199M;BluFonte Distribuzione SpA di Giovanni Greco;Viale Santa Maria, 293;Ravenna
CGU952;DLCCRN73P65G224G;BluAcqua Forniture Srl di Giuseppe Esposito;Corso XX Settembre, 99;Padova
CGV326;MRNCRN93T55D086F;Idro Distribuzione Italiana SpA di Luca Russo;Viale della Repubblica, 15;Cosenza
CHA502;SPSMSM84S12C573P;Fonti Chiare Distribuzione Srl di Laura Mancini;Via Colombo, 295;Cesena
CHG774;CNTMTT73S16L483E;Acque Chiare Servizi Srl di Marco Rossi;Via Roma, 132;Udine
CHK878;FRRFBA69D15G535T;Idrogest Italia SpA di Paolo De Luca;Via San Giovanni, 258;Piacenza
CHX133;NREPRI53R05H199V;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Verdi, 184;Ravenna
CIF348;SRRMRC73E10A390D;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Marconi, 148;Arezzo
CJE292;DSNNTN85D13L117X;Gestione Idrica Integrata SpA di Francesco Bianchi;Via della Libertà, 182;Terni
CJJ751;MNCTRS94R52A271G;Acqua & Territorio SpA di Davide Gallo;Via dell'Acquedotto, 183;Ancona
CJQ869;CPPLNZ73P17I754D;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale delle Industrie, 163;Siracusa
CJS126;MNCCHR56H54L049D;Idrogest Italia SpA di Paolo De Luca;Viale dei Lavoratori, 289;Taranto
CKA577;LNEGNN57A18L219O;Rete Idrica Nazionale SpA di Matteo Colombo;Via delle Scienze, 37;Torino
CKB613;MRCSMN82H28E506Y;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Italia, 231;Lecce
CLC303;CNTCRN85D55L219M;Idro Distribuzione Italiana SpA di Luca Russo;Corso XX Settembre, 207;Torino
CLI437;GRDNNA50A67H199Q;Rete Idrica Nazionale SpA di Matteo Colombo;Via del Commercio, 145;Ravenna
CLJ485;DSNTRS89S44C351B;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 93;Catania
CLN294;RCCGLI56R21E625S;Cristallina Acque Srl di Giulia Moretti;Corso della Pace, 146;Livorno
CLZ219;MNCFNC97L68F839M;Sorgenti d'Italia Srl di Roberto Marino;Via dei Mille, 67;Napoli
CMG078;NREMTT87T22L483R;Idrogest Italia SpA di Paolo De Luca;Via Europa, 243;Udine
CNF066;NRERRT53D60L219C;AcquaPura Italia Srl di Maria Costa;Corso Garibaldi, 240;Torino
CNP585;RNLBBR90H53B354L;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 112;Cagliari
CNT928;VTLRRT84T18A944M;Cristallina Acque Srl di Giulia Moretti;Corso dell'Artigianato, 110;Bologna
COA421;NREMRC60E14H703D;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Cavour, 275;Salerno
COO293;BNCDNL91H01L049Y;Idrogest Italia SpA di Paolo De Luca;Corso Cavour, 56;Taranto
CPQ582;SRRGNN69S28H199O;Servizi Idrici del Nord Srl di Stefano Bruno;Via Europa, 167;Ravenna
CQQ164;RCCSRG93D10I754P;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Matteotti, 223;Siracusa
CQZ622;RSSNRC84D03D969T;Acque Chiare Servizi Srl di Marco Rossi;Via IV Novembre, 5;Genova
CRQ311;MRNNRC70C27H703U;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Garibaldi, 115;Salerno
CSB475;LMBRRT76P63A952A;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via della Costituzione, 41;Bolzano
CSC667;FRRLSE81A66D086E;Servizi Idrici del Nord Srl di Stefano Bruno;Via Colombo, 238;Cosenza
CTL401;LMBCRN74S43F952P;Sorgenti d'Italia Srl di Roberto Marino;Via Europa, 238;Novara
CTQ187;FNTMSM66S14L219B;Sorgenti d'Italia Srl di Roberto Marino;Corso Vittorio Emanuele, 92;Torino
CTV072;MRTNRC70S04G482I;AcquaPura Italia Srl di Maria Costa;Corso della Pace, 92;Pescara
CVU866;RNLMNC73D42C351F;Rete Idrica Nazionale SpA di Matteo Colombo;Corso del Porto, 255;Catania
CWT696;DNGPLA68P49G478Q;Cristallina Acque Srl di Giulia Moretti;Via Matteotti, 123;Perugia
CWU862;VTLMTT53T01L483N;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Libertà, 27;Udine
CWW227;CRSNGL66C41D643C;PureFlow Idrica Srl di Alessandro Ricci;Via San Giovanni, 88;Foggia
CWX980;MRTMRC60P03E472R;Acqua & Territorio SpA di Davide Gallo;Via San Giovanni, 175;Latina
CWY571;SLVLNE48S55C351Z;Acque del Sud Italia SpA di Elena Giordano;Via dell'Acquedotto, 263;Catania
CXB634;PNIMHL77T11A944S;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Matteotti, 43;Bologna
CYH782;SPSCHR45L63D704F;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Europa, 145;Forlì
CYH877;FRRGRG98B09F704J;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Europa, 66;Monza
CZH960;FNTNGL63A64B157G;Acque del Sud Italia SpA di Elena Giordano;Via delle Scienze, 103;Brescia
CZJ390;SPSCRL55L08F704C;Acqua & Territorio SpA di Davide Gallo;Viale dei Lavoratori, 104;Monza
CZT739;CSTPLA56A64D969M;Idroservice Nazionale SpA di Sara Rizzo;Viale Italia, 242;Genova
DBD394;RZZGLI54R15B157G;Rete Idrica Nazionale SpA di Matteo Colombo;Viale dei Lavoratori, 290;Brescia
DBT746;DLCRCR96T20E472B;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 59;Latina
DCK942;BNCRCR77C04C573U;Idrogest Italia SpA di Paolo De Luca;Viale dei Lavoratori, 147;Cesena
DCR256;VTLLRA77B68A271J;Rete Idrica Nazionale SpA di Matteo Colombo;Viale della Repubblica, 80;Ancona
DDD099;DNGLCU50H08I754D;Acqua & Territorio SpA di Davide Gallo;Via Verdi, 176;Siracusa
DEG528;RNLLRA91A47G273J;BluFonte Distribuzione SpA di Giovanni Greco;Via Dante, 131;Palermo
DEQ311;LMBCST64S59L736W;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Leopardi, 59;Venezia
DET328;LMBPLA76H23H703L;AcquaPura Italia Srl di Maria Costa;Via del Commercio, 192;Salerno
DFZ708;DSNPRZ83H67G535I;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Nazionale, 14;Piacenza
DGK611;FRRCRL49T02G273R;Acqua & Territorio SpA di Davide Gallo;Corso Vittorio Emanuele, 165;Palermo
DGR747;RSSDVD86A24G337U;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale della Repubblica, 74;Parma
DGT876;GRSLNZ51D17F952T;Sorgenti d'Italia Srl di Roberto Marino;Corso XX Settembre, 240;Novara
DGU547;RNLMNC68C57L424K;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Leopardi, 121;Trieste
DHA901;VTLVCN51H08E625A;AcquaPura Italia Srl di Maria Costa;Via Verdi, 184;Livorno
DHE316;SLVVNT88P47A794X;Idro Distribuzione Italiana SpA di Luca Russo;Viale Leopardi, 259;Bergamo
DIO445;PNISFN89R19L424M;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Marconi, 211;Trieste
DIR109;FRRLNE75L49G482W;Idro Distribuzione Italiana SpA di Luca Russo;Via Dante, 221;Pescara
DIR410;RZZFNC78S63E625L;Idroservice Nazionale SpA di Sara Rizzo;Viale dei Lavoratori, 194;Livorno
DIT903;FRRRSL77D53G337Y;PureFlow Idrica Srl di Alessandro Ricci;Viale Nazionale, 66;Parma
DKC440;BRBRRT52L07G478I;Idro Distribuzione Italiana SpA di Luca Russo;Via delle Scienze, 53;Perugia
DLB363;FRRPLA69E60F839P;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso XX Settembre, 78;Napoli
DLT484;CSTGNN54B27F704N;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Colombo, 147;Monza
DLZ006;GNTRCR62B06B354F;Acque del Sud Italia SpA di Elena Giordano;Viale Italia, 282;Cagliari
DMB224;FRRCLD58D61G482F;Idrogest Italia SpA di Paolo De Luca;Via della Costituzione, 237;Pescara
DMO892;LMBLNZ48B17A390U;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Leopardi, 88;Arezzo
DMV957;RSSLSN97M19H224J;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Roma, 151;Reggio Calabria
DMX899;SPSPRI70R27H530I;BluFonte Distribuzione SpA di Giovanni Greco;Via delle Scienze, 87;Reggio Emilia
DOD465;FRRPLA97T46A794X;Sorgenti d'Italia Srl di Roberto Marino;Corso dell'Artigianato, 279;Bergamo
DOY641;FRRFNC77L21D643U;Idroservice Nazionale SpA di Sara Rizzo;Viale Leopardi, 217;Foggia
DPK667;BNCCRN64C47F839E;Cristallina Acque Srl di Giulia Moretti;Corso della Pace, 239;Napoli
DQK233;MRNSFN47D06L483Q;Acque del Sud Italia SpA di Elena Giordano;Via della Libertà, 27;Udine
DQS135;VTLNDR76C22L840K;Servizi Idrici del Nord Srl di Stefano Bruno;Corso della Pace, 231;Vicenza
DQV510;RZZRRT88M02F205R;Rete Idrica Nazionale SpA di Matteo Colombo;Via della Costituzione, 177;Milano
DRE094;RCCMRC73P22A952U;Idrogest Italia SpA di Paolo De Luca;Corso dell'Artigianato, 229;Bolzano
DRF739;DSNLRT73C18E625G;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso del Porto, 291;Livorno
DSN935;MRTRCR74C21A944U;Rete Idrica Nazionale SpA di Matteo Colombo;Corso della Pace, 99;Bologna
DTG426;SNTGRG69T26A271W;PureFlow Idrica Srl di Alessandro Ricci;Viale Nazionale, 231;Ancona
DVL402;CRSRRT86C05L483A;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso dell'Artigianato, 194;Udine
DVP928;PNIMRA61C64L117Q;Acque del Sud Italia SpA di Elena Giordano;Corso Marconi, 236;Terni
DVR841;FRRCRN79D48L483W;Cristallina Acque Srl di Giulia Moretti;Viale Nazionale, 91;Udine
DVS095;GRDRRT91R16H703E;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Marconi, 89;Salerno
DWG460;RZZPLA60D66G337V;Cristallina Acque Srl di Giulia Moretti;Via Europa, 259;Parma
DWP994;MRTNGL81A49D612C;Fonti Chiare Distribuzione Srl di Laura Mancini;Via San Giovanni, 144;Firenze
DXW735;RNLFBA54E15G224O;Sorgenti d'Italia Srl di Roberto Marino;Via dei Mille, 56;Padova
DYD929;CPPRSO57R41A662U;Sorgenti d'Italia Srl di Roberto Marino;Viale dei Lavoratori, 79;Bari
DYE214;RSSSFN66H26F839D;Acquedotto Peninsulare SpA di Lorenzo Conti;Via dell'Acquedotto, 4;Napoli
DYS749;MRTCRL47B01L781S;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Leopardi, 215;Verona
DZL204;FRRLNZ80L09E506O;Servizi Idrici del Nord Srl di Stefano Bruno;Piazza Mazzini, 176;Lecce
DZW146;BRNBBR70T54C352P;Acqua & Territorio SpA di Davide Gallo;Corso della Pace, 148;Catanzaro
EAS197;RLNCRL94R14L219L;Idroservice Nazionale SpA di Sara Rizzo;Viale Nazionale, 271;Torino
EBA065;RSSFNC75T17G999U;Acque Chiare Servizi Srl di Marco Rossi;Via Colombo, 63;Prato
ECR451;FRRSMN73D01D612I;BluFonte Distribuzione SpA di Giovanni Greco;Via dei Mille, 47;Firenze
EDA256;SRRCML47S59L049D;Servizi Idrici del Nord Srl di Stefano Bruno;Viale delle Industrie, 235;Taranto
EED939;SNTNRC47B27C352M;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Garibaldi, 230;Catanzaro
EES838;LNEGNN45D07G224V;Rete Idrica Nazionale SpA di Matteo Colombo;Via della Libertà, 231;Padova
EFT470;BRBGNN67D18D086C;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Nazionale, 5;Cosenza
EGA256;GLLLRT81D10D643W;Cristallina Acque Srl di Giulia Moretti;Via della Costituzione, 38;Foggia
EGG853;FRRGLI85M55B354I;Cristallina Acque Srl di Giulia Moretti;Via Matteotti, 165;Cagliari
EGU054;VLLPLA85C51D704D;BluFonte Distribuzione SpA di Giovanni Greco;Via Dante, 25;Forlì
EHG207;MNCCST96T50A952R;Idrogest Italia SpA di Paolo De Luca;Via dell'Acquedotto, 66;Bolzano
EHS672;MRNLRT69E07E472M;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso della Pace, 242;Latina
EIL517;BRNPLA73B57G482W;Idrogest Italia SpA di Paolo De Luca;Via IV Novembre, 78;Pescara
EJU092;MRCSRA66P47E472G;Servizi Idrici del Nord Srl di Stefano Bruno;Viale Nazionale, 150;Latina
EJX067;MRNSRA85M52C351R;BluFonte Distribuzione SpA di Giovanni Greco;Viale dei Lavoratori, 238;Catania
EKZ808;BRNMHL87R01A285H;PureFlow Idrica Srl di Alessandro Ricci;Via Roma, 206;Andria
EMD161;BRNCRN79L44H294D;AcquaPura Italia Srl di Maria Costa;Viale delle Industrie, 159;Rimini
EMS600;GLLLCU81D43A952F;Idro Distribuzione Italiana SpA di Luca Russo;Via Matteotti, 203;Bolzano
EMV932;FRRLCU82B02D086X;Idro Distribuzione Italiana SpA di Luca Russo;Viale della Repubblica, 128;Cosenza
EMW553;MRTFBA78P23F205K;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Nazionale, 171;Milano
ENE546;CNTGRG77E19G273C;Idro Distribuzione Italiana SpA di Luca Russo;Via Matteotti, 290;Palermo
ENK636;FRRFNC85L41L378L;Acqua & Territorio SpA di Davide Gallo;Via Colombo, 187;Trento
EOG657;NREVCN61B28E625A;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Costituzione, 93;Livorno
EOV924;CLMGRG89T25I452I;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Italia, 58;Sassari
EPE905;FNTRRT80L25L424X;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 13;Trieste
EPV686;RSSCHR75D56L736N;AcquaPura Italia Srl di Maria Costa;Via del Commercio, 6;Venezia
EQD496;RCCNRC86D14G999H;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Garibaldi, 171;Prato
EQE188;LMBRSL46T67F704J;Idroservice Nazionale SpA di Sara Rizzo;Corso Vittorio Emanuele, 29;Monza
EQN166;FRRSLV79R44H224V;Acquedotto Peninsulare SpA di Lorenzo Conti;Via dei Mille, 240;Reggio Calabria
EQU511;MNCFNC76T43H530F;Sorgenti d'Italia Srl di Roberto Marino;Viale Italia, 184;Reggio Emilia
ERA899;BRNCHR60A62A285W;Servizi Idrici del Nord Srl di Stefano Bruno;Via Roma, 110;Andria
ERH700;BRBRSL55T68G535T;Sorgenti d'Italia Srl di Roberto Marino;Corso Vittorio Emanuele, 89;Piacenza
ERM568;DNGNDR71L21G337Z;Idroservice Nazionale SpA di Sara Rizzo;Via Colombo, 239;Parma
ERP506;MRCCLD79M66G337R;Acqua & Territorio SpA di Davide Gallo;Via del Commercio, 70;Parma
ESC266;LMBGNN75P17G535D;Sorgenti d'Italia Srl di Roberto Marino;Viale Leopardi, 189;Piacenza
ESM348;RSSCHR86B55H703S;Acqua & Territorio SpA di Davide Gallo;Via Dante, 168;Salerno
ESU349;FRRSLV54H67A794R;BluAcqua Forniture Srl di Giuseppe Esposito;Via dei Mille, 63;Bergamo
ESZ693;BRBSLV64E65D612B;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Roma, 57;Firenze
EUN063;MRCLSN59E15H530P;Acque Chiare Servizi Srl di Marco Rossi;Corso del Porto, 125;Reggio Emilia
EUQ667;MRTPRI63P20F952K;Idrogest Italia SpA di Paolo De Luca;Via della Libertà, 236;Novara
EUR678;VLLRSO60L41A271Z;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale della Repubblica, 283;Ancona
EVM566;SNTRCR82D15G482S;BluFonte Distribuzione SpA di Giovanni Greco;Viale Italia, 105;Pescara
EVN211;RCCMRA69E55A794R;Idro Distribuzione Italiana SpA di Luca Russo;Viale delle Industrie, 212;Bergamo
